state_name,district_name,disability,age_group,male,female,other,total
Karnataka,Bagalkote,Acid Attack Victim,Jun-15,0,1,0,1
Karnataka,Bagalkote,Acid Attack Victim,15-35,5,3,0,8
Karnataka,Bagalkote,Acid Attack Victim,35-60,5,4,0,9
Karnataka,Bagalkote,Acid Attack Victim,60-80,2,0,0,2
Karnataka,Bagalkote,Acid Attack Victim,80+,0,0,0,0
Karnataka,Bagalkote,Autism Spectrum Disorder,Jun-15,1,0,0,1
Karnataka,Bagalkote,Autism Spectrum Disorder,15-35,1,0,0,1
Karnataka,Bagalkote,Autism Spectrum Disorder,35-60,1,1,0,2
Karnataka,Bagalkote,Autism Spectrum Disorder,60-80,0,0,0,0
Karnataka,Bagalkote,Autism Spectrum Disorder,80+,0,0,0,0
Karnataka,Bagalkote,Blindness,0-6,6,5,0,11
Karnataka,Bagalkote,Blindness,Jun-15,161,145,0,306
Karnataka,Bagalkote,Blindness,15-35,885,539,0,1424
Karnataka,Bagalkote,Blindness,35-60,1119,590,0,1709
Karnataka,Bagalkote,Blindness,60-80,336,196,0,532
Karnataka,Bagalkote,Blindness,80+,29,6,0,35
Karnataka,Bagalkote,Cerebral Palsy,0-6,8,11,0,19
Karnataka,Bagalkote,Cerebral Palsy,Jun-15,49,25,0,74
Karnataka,Bagalkote,Cerebral Palsy,15-35,65,48,0,113
Karnataka,Bagalkote,Cerebral Palsy,35-60,24,10,0,34
Karnataka,Bagalkote,Cerebral Palsy,60-80,3,0,0,3
Karnataka,Bagalkote,Cerebral Palsy,80+,0,0,0,0
Karnataka,Bagalkote,Chronic Neurological Conditions,0-6,0,1,0,1
Karnataka,Bagalkote,Chronic Neurological Conditions,Jun-15,8,7,0,15
Karnataka,Bagalkote,Chronic Neurological Conditions,15-35,54,30,0,84
Karnataka,Bagalkote,Chronic Neurological Conditions,35-60,67,30,0,97
Karnataka,Bagalkote,Chronic Neurological Conditions,60-80,17,6,0,23
Karnataka,Bagalkote,Dwarfism,Jun-15,3,3,0,6
Karnataka,Bagalkote,Dwarfism,15-35,11,33,0,44
Karnataka,Bagalkote,Dwarfism,35-60,13,15,0,28
Karnataka,Bagalkote,Dwarfism,60-80,1,0,0,1
Karnataka,Bagalkote,Dwarfism,80+,1,0,0,1
Karnataka,Bagalkote,Hearing Impairment,0-6,14,12,0,26
Karnataka,Bagalkote,Hearing Impairment,Jun-15,214,162,0,376
Karnataka,Bagalkote,Hearing Impairment,15-35,600,467,0,1067
Karnataka,Bagalkote,Hearing Impairment,35-60,593,513,1,1107
Karnataka,Bagalkote,Hearing Impairment,60-80,181,74,0,255
Karnataka,Bagalkote,Hearing Impairment,80+,9,2,0,11
Karnataka,Bagalkote,Hemophilia,0-6,0,0,0,0
Karnataka,Bagalkote,Hemophilia,Jun-15,10,1,0,11
Karnataka,Bagalkote,Hemophilia,15-35,20,0,0,20
Karnataka,Bagalkote,Hemophilia,35-60,12,1,0,13
Karnataka,Bagalkote,Hemophilia,60-80,2,0,0,2
Karnataka,Bagalkote,Intellectual Disability,0-6,54,36,0,90
Karnataka,Bagalkote,Intellectual Disability,Jun-15,754,477,0,1231
Karnataka,Bagalkote,Intellectual Disability,15-35,1275,900,0,2175
Karnataka,Bagalkote,Intellectual Disability,35-60,326,258,0,584
Karnataka,Bagalkote,Intellectual Disability,60-80,10,10,0,20
Karnataka,Bagalkote,Intellectual Disability,80+,0,0,0,0
Karnataka,Bagalkote,Leprosy Cured,0-6,0,0,0,0
Karnataka,Bagalkote,Leprosy Cured,Jun-15,0,0,0,0
Karnataka,Bagalkote,Leprosy Cured,15-35,6,2,0,8
Karnataka,Bagalkote,Leprosy Cured,35-60,19,11,0,30
Karnataka,Bagalkote,Leprosy Cured,60-80,8,2,0,10
Karnataka,Bagalkote,Leprosy Cured,80+,3,2,0,5
Karnataka,Bagalkote,Locomotor Disability,0-6,25,24,0,49
Karnataka,Bagalkote,Locomotor Disability,Jun-15,595,376,1,972
Karnataka,Bagalkote,Locomotor Disability,15-35,2883,1691,1,4575
Karnataka,Bagalkote,Locomotor Disability,35-60,6317,3104,1,9422
Karnataka,Bagalkote,Locomotor Disability,60-80,1404,452,0,1856
Karnataka,Bagalkote,Locomotor Disability,80+,72,27,0,99
Karnataka,Bagalkote,Low Vision,0-6,2,0,0,2
Karnataka,Bagalkote,Low Vision,Jun-15,31,36,0,67
Karnataka,Bagalkote,Low Vision,15-35,226,142,0,368
Karnataka,Bagalkote,Low Vision,35-60,246,137,0,383
Karnataka,Bagalkote,Low Vision,60-80,67,19,0,86
Karnataka,Bagalkote,Low Vision,80+,6,0,0,6
Karnataka,Bagalkote,Mental Illness,0-6,3,0,0,3
Karnataka,Bagalkote,Mental Illness,Jun-15,48,32,0,80
Karnataka,Bagalkote,Mental Illness,15-35,173,136,0,309
Karnataka,Bagalkote,Mental Illness,35-60,76,72,0,148
Karnataka,Bagalkote,Mental Illness,60-80,6,6,0,12
Karnataka,Bagalkote,Multiple Disabilities,0-6,8,10,0,18
Karnataka,Bagalkote,Multiple Disabilities,Jun-15,170,120,0,290
Karnataka,Bagalkote,Multiple Disabilities,15-35,345,241,0,586
Karnataka,Bagalkote,Multiple Disabilities,35-60,223,128,0,351
Karnataka,Bagalkote,Multiple Disabilities,60-80,43,26,0,69
Karnataka,Bagalkote,Multiple Disabilities,80+,2,0,0,2
Karnataka,Bagalkote,Multiple Sclerosis,0-6,0,0,0,0
Karnataka,Bagalkote,Multiple Sclerosis,Jun-15,1,0,0,1
Karnataka,Bagalkote,Multiple Sclerosis,15-35,3,0,0,3
Karnataka,Bagalkote,Multiple Sclerosis,35-60,5,1,0,6
Karnataka,Bagalkote,Multiple Sclerosis,60-80,0,0,0,0
Karnataka,Bagalkote,Muscular Dystrophy,0-6,0,0,0,0
Karnataka,Bagalkote,Muscular Dystrophy,Jun-15,12,7,0,19
Karnataka,Bagalkote,Muscular Dystrophy,15-35,35,13,0,48
Karnataka,Bagalkote,Muscular Dystrophy,35-60,32,8,0,40
Karnataka,Bagalkote,Muscular Dystrophy,60-80,4,2,0,6
Karnataka,Bagalkote,Parkinson'S Disease,15-35,1,0,0,1
Karnataka,Bagalkote,Parkinson'S Disease,35-60,2,0,0,2
Karnataka,Bagalkote,Parkinson'S Disease,60-80,2,0,0,2
Karnataka,Bagalkote,Parkinson'S Disease,80+,0,0,0,0
Karnataka,Bagalkote,Sickle Cell Disease,Jun-15,1,0,0,1
Karnataka,Bagalkote,Sickle Cell Disease,15-35,0,1,0,1
